sample_id,condition,masked_spots,total_spots,mse,mae,cosine,de_gene_jaccard,model
GSM8694502_MC38_aPD1_NR_m10,aPD1_treated,697,3484,2.39909291267395,1.1964695453643799,0.42042967677116394,0.015228426395939087,graph_conditioned
GSM8694502_MC38_aPD1_NR_m10,aPD1_treated,697,3484,2.4474477767944336,1.204941749572754,0.3365088403224945,0.015228426395939087,graph_unconditional
GSM8694502_MC38_aPD1_NR_m10,aPD1_treated,697,3484,2.4677305221557617,1.2022860050201416,0.357069730758667,0.015228426395939087,mlp_no_graph
GSM8694502_MC38_aPD1_NR_m10,aPD1_treated,697,3484,1.5742754936218262,0.9268922209739685,0.6885634064674377,0.06382978723404255,nearest_niche
GSM8694507_MC38_aPD1_R_m15_sec1,aPD1_treated,505,2527,2.4862732887268066,1.302601933479309,0.45413079857826233,0.010101010101010102,graph_conditioned
GSM8694507_MC38_aPD1_R_m15_sec1,aPD1_treated,505,2527,2.527411460876465,1.3092424869537354,0.3722952902317047,0.010101010101010102,graph_unconditional
GSM8694507_MC38_aPD1_R_m15_sec1,aPD1_treated,505,2527,2.569420576095581,1.321970820426941,0.3924950957298279,0.015228426395939087,mlp_no_graph
GSM8694507_MC38_aPD1_R_m15_sec1,aPD1_treated,505,2527,1.1294898986816406,0.7946993708610535,0.7898203730583191,0.12359550561797752,nearest_niche
GSM8694511_MC38_aPD1_R_m16_sec3,aPD1_treated,593,2965,2.544078826904297,1.4544004201889038,0.5207450985908508,0.041666666666666664,graph_conditioned
GSM8694511_MC38_aPD1_R_m16_sec3,aPD1_treated,593,2965,2.5919198989868164,1.4663550853729248,0.42222142219543457,0.03626943005181347,graph_unconditional
GSM8694511_MC38_aPD1_R_m16_sec3,aPD1_treated,593,2965,2.6432182788848877,1.4963393211364746,0.4513150453567505,0.041666666666666664,mlp_no_graph
GSM8694511_MC38_aPD1_R_m16_sec3,aPD1_treated,593,2965,0.21008524298667908,0.31360140442848206,0.9623220562934875,0.5384615384615384,nearest_niche
